0;0,99;0,95;0,8;0,5;0,2;0,05;0,01
1;0;0,004;0,064;0,455;1,642;3,841;6,635
2;0,02;0,103;0,446;1,386;3,219;5,991;9,21
3;0,115;0,352;1,005;2,336;4,642;7,815;11,345
4;0,297;0,711;1,649;3,357;5,989;9,488;13,277
5;0,554;1,145;2,343;4,351;7,279;11,07;15,086
6;0,872;1,635;3,07;5,348;8,558;12,592;16,812
7;1,239;2,167;3,822;6,346;9,803;14,067;18,475
8;1,646;2,733;4,594;7,344;11,03;15,507;20,09
9;2,088;3,325;5,38;8,343;12,424;16,919;21,666
10;2,558;3,94;6,197;9,342;13,442;18,307;23,209
15;5,229;7,261;10,307;14,339;19,311;24,996;30,578
20;8,26;10,851;14,578;19,337;25,038;31,41;37,566
25;11,524;14,611;18,94;24,337;30,675;37,652;44,314
30;14,953;18,493;23,364;29,336;36,25;43,773;50,892
